Date,Price,Open,High,Low,Change %
01-07-2025,286467,283944,287336,283785,0.9
30-06-2025,283926,279664,283944,277546,1.72
29-06-2025,279117,280000,280004,280000,-0.25
27-06-2025,279805,285031,285151,278412,-1.83
26-06-2025,285011,286738,287451,283689,-0.6
25-06-2025,286725,285694,287140,285171,0.36
24-06-2025,285699,291666,291862,283625,-2.05
23-06-2025,291669,291530,293835,290217,0.02
20-06-2025,291622,292705,292899,289321,-0.37
19-06-2025,292705,291163,293134,290219,0.52
18-06-2025,291189,292465,293632,290624,-0.42
17-06-2025,292423,290530,293269,290366,0.64
16-06-2025,290561,295485,297214,290402,-1.69
13-06-2025,295567,289751,296893,289244,2.01
12-06-2025,289753,286764,290699,285792,1.04
11-06-2025,286760,284427,287181,283721,0.8
10-06-2025,284483,285066,286566,282570,-0.14
09-06-2025,284878,284079,285998,282553,0.32
06-06-2025,283965,287751,290095,283682,-1.32
05-06-2025,287778,289660,292101,286595,-0.65
04-06-2025,289671,287419,290499,286769,0.78
03-06-2025,287423,288404,289564,285593,-0.42
02-06-2025,288639,281359,288771,281325,2.6
30-05-2025,281325,283421,283736,279935,-0.74
29-05-2025,283433,280834,284524,277213,0.95
28-05-2025,280754,281661,284086,279841,-0.31
27-05-2025,281630,284533,285256,280518,-0.99
26-05-2025,284442,285784,285938,282993,-0.56
23-05-2025,286051,283339,286925,282685,0.92
22-05-2025,283442,283787,286554,282174,-0.12
21-05-2025,283775,281432,284632,280971,0.83
20-05-2025,281427,275818,281938,273729,2.05
19-05-2025,275772,275121,277868,274153,0.71
16-05-2025,273837,277170,277890,270030,-1.22
15-05-2025,277211,271330,277252,267485,2.17
14-05-2025,271332,276928,277772,270527,2.1
13-05-2025,277163,274595,278280,272985,0.94
12-05-2025,274594,283982,284019,272320,-3.29
09-05-2025,283932,282746,285940,281416,0.41
08-05-2025,282772,285065,289319,281309,-0.8
07-05-2025,285062,289305,289890,283282,-1.46
06-05-2025,289284,281062,289602,280109,2.92
05-05-2025,281072,273866,281359,273681,2.67
02-05-2025,273762,274156,276114,272221,-0.14
01-05-2025,274156,278282,278409,271151,-1.45
30-04-2025,278203,282460,283425,276231,-1.51
29-04-2025,282479,284797,285208,281003,-0.81
28-04-2025,284783,284195,285578,278272,0.47
25-04-2025,283444,285785,287645,278845,-0.8
24-04-2025,285728,280703,288023,280611,1.81
23-04-2025,280647,287917,288744,278403,-2.55
22-04-2025,287986,291686,297801,286778,-1.2
21-04-2025,291496,284947,292247,284383,2.54
18-04-2025,284268,284157,284543,284106,0.06
17-04-2025,284103,286219,287494,280503,-0.19
16-04-2025,286841,276849,286976,276517,3.6
15-04-2025,276886,276288,277558,275288,0.27
14-04-2025,276127,279060,279792,274836,-1
11-04-2025,278929,273852,279774,273588,1.92
10-04-2025,273682,267153,273832,266135,2.46
09-04-2025,267099,257250,268644,256163,3.85
08-04-2025,257199,256203,260437,255794,0.42
07-04-2025,256121,259840,261684,253917,-1.38
04-04-2025,259700,265617,267696,257926,-2.22
03-04-2025,265598,267901,271190,260677,-0.78
02-04-2025,267695,266533,268513,265353,0.47
